CRM_AccountId,CRM_AccountNumber,CRM_AccountName,SAP_KUNNR,SAP_NAME1,SAP_LAND1,MatchType,MatchConfidence,CreatedDate_x,DataSource,Id,Name,AccountNumber,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,Rating,OwnerId,CreatedDate_y,LastModifiedDate,IsDeleted,TotalOrders,TotalRevenue,FirstOrderDate,LastOrderDate
100010000,ACC-010000,"Rodriguez, Figueroa and Sanchez",100000,Figueroa and Sons,US,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010000,"Rodriguez, Figueroa and Sanchez",ACC-010000,Customer - Direct,Media,353712.52,280,181 Johnson Course,East William,AK,74064,USA,886.737.9402,www.moore-bernard.com,Hot,50011,2022-03-25 17:21:13,2022-05-22 17:21:13,False,2.0,0.0,20251001.0,20251018.0
100010001,ACC-010001,Davis Inc,100001,Wolfe LLC,US,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010001,Davis Inc,ACC-010001,Customer - Channel,Retail,76931473.65,688,9407 Teresa Lane Apt. 849,Barbaraland,AZ,87174,USA,441.731.6475,www.clark-adams.com,Hot,50002,2025-09-03 17:21:13,2026-01-22 17:21:13,False,2.0,0.0,20250928.0,20251001.0
100010003,ACC-010003,Davis-Williams,100002,Ramirez-Reid,US,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010003,Davis-Williams,ACC-010003,Customer - Channel,Financial Services,4346707.43,138,26916 Carlson Mountain,Tashatown,TX,94967,USA,284-651-4627,www.gill.com,Warm,50005,2025-01-12 17:21:13,2025-03-06 17:21:13,False,3.0,0.0,20251009.0,20251023.0
100010006,ACC-010006,Davis Group,100003,François,DE,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010006,Davis Group,ACC-010006,Customer - Direct,Technology,16938332.8,12,6701 Richard Junction Apt. 333,Taylorburgh,KY,61138,USA,517.481.0801,www.tucker-lewis.biz,Warm,50006,2023-06-13 17:21:13,2023-06-30 17:21:13,False,5.0,0.0,20250925.0,20251023.0
100010007,ACC-010007,Martin Inc,100004,Faivre SA,GB,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010007,Martin Inc,ACC-010007,Customer - Direct,Healthcare,5062022.33,865,7468 Moore Hill Apt. 098,Lake Leeton,OR,62994,USA,582.208.1219x13619,www.miller.com,Cold,50008,2025-08-24 17:21:13,2025-10-11 17:21:13,False,2.0,0.0,20250929.0,20251002.0
100010009,ACC-010009,"Rice, Contreras and Spencer",100005,De Sousa Bernard et Fils,US,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010009,"Rice, Contreras and Spencer",ACC-010009,Customer - Direct,Technology,2996412.79,85,41182 Campbell Fords,Jamesview,NY,64533,USA,801-264-0052x427,www.jones.com,Warm,50008,2022-12-25 17:21:13,2023-10-30 17:21:13,False,8.0,0.0,20250926.0,20251023.0
100010010,ACC-010010,"Johnson, Wood and Tran",100006,Hendriks KG,US,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010010,"Johnson, Wood and Tran",ACC-010010,Customer - Direct,Financial Services,25699935.62,955,04505 Evelyn Shores Apt. 586,East Michelle,AS,23707,USA,(902)756-3421x60733,www.hoover-savage.com,Cold,50005,2025-08-31 17:21:13,2026-06-15 17:21:13,False,,,,
100010016,ACC-010016,Vargas-Alvarado,100007,Hoarau S.A.,US,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010016,Vargas-Alvarado,ACC-010016,Customer - Direct,Financial Services,8911887.9,1504,627 Brent Light,Jasonmouth,MA,50193,USA,264-517-0805x310,www.combs.com,Cold,50012,2021-07-23 17:21:13,2021-10-13 17:21:13,False,,,,
100010017,ACC-010017,Martinez Ltd,100008,Eigenwillig,US,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010017,Martinez Ltd,ACC-010017,Customer - Direct,Telecommunications,1761053.75,570,374 Jackson Rest,Port Loriport,CT,76350,USA,3496663193,www.burke.com,Hot,50013,2021-11-25 17:21:13,2022-06-30 17:21:13,False,4.0,0.0,20250927.0,20251012.0
100010019,ACC-010019,Freeman LLC,100009,Meister,US,Direct_Master_Match,100,2025-10-25 17:36:40,Synthetic_Generated,100010019,Freeman LLC,ACC-010019,Customer - Direct,Media,2367697.63,332,4948 Zachary Field Apt. 367,Lake Thomas,VT,64833,USA,701.843.6349x578,www.pierce.com,Warm,50009,2024-12-10 17:21:13,2025-03-31 17:21:13,False,3.0,0.0,20251001.0,20251010.0
